iso3,ccy,month,effective_rate,crypto_shadow_rate,Y,cpi,m2_growth,reserves_gdp,policy_rate,kaopen
AUS,AUD,2019/1/1,1.399757375,1.650511327,-0.164786217,1.188118812,2.613058236,2.986058969,1.5,1
AUS,AUD,2019/2/1,1.399776036,1.715782299,-0.203556878,1.489572989,3.129130244,3.276799304,1.5,1
AUS,AUD,2019/3/1,1.4122679,1.948888009,-0.322062106,1.584158416,4.024136554,3.694353039,1.5,1
AUS,AUD,2019/4/1,1.405429396,1.635799412,-0.151788746,1.771653543,4.431523162,3.600385803,1.5,1
AUS,AUD,2019/5/1,1.439073987,1.876940412,-0.265643169,1.477832512,4.115450079,3.738380758,1.5,1
AUS,AUD,2019/6/1,1.439073987,1.896569625,-0.276046951,1.379310345,4.055647714,3.675130637,1.25,1
AUS,AUD,2019/7/1,1.43122052,1.676278008,-0.158048274,1.567091087,12.97024953,2.983406863,1,1
AUS,AUD,2019/8/1,1.476720555,1.932976721,-0.269237369,1.573254671,12.27416962,3.23500609,1,1
AUS,AUD,2019/9/1,1.468849891,1.76989519,-0.186440623,1.666666667,12.94475081,3.077909772,1,1
AUS,AUD,2019/10/1,1.471483322,1.78297388,-0.192011735,1.756097561,12.77177855,3.171105549,0.75,1
AUS,AUD,2019/11/1,1.464281979,1.792317637,-0.202144546,1.762977473,13.97815349,3.504921771,0.75,1
AUS,AUD,2019/12/1,1.454143582,1.733361909,-0.175645699,2.239532619,14.05953319,4.010965657,0.75,1
AUS,AUD,2020/1/1,1.455533453,1.659795893,-0.131322171,2.739726027,14.30982196,3.354618963,0.75,1
AUS,AUD,2020/2/1,1.498452847,1.810226868,-0.189019038,1.956947162,13.59375195,3.727932682,0.75,1
AUS,AUD,2020/3/1,1.605335552,1.915903953,-0.176856748,2.144249513,16.00548539,3.871690918,0.25,1
AUS,AUD,2020/4/1,1.58784347,1.90565315,-0.182448023,0.096711799,23.20966582,2.76655349,0.25,1
AUS,AUD,2020/5/1,1.536199443,1.84724493,-0.18438383,-0.194174757,22.7392295,2.688692793,0.25,1
AUS,AUD,2020/6/1,1.450947607,1.789642937,-0.209799258,-0.09718173,22.87701926,2.823301517,0.25,1
AUS,AUD,2020/7/1,1.422783087,1.77609047,-0.22179971,0.771456123,13.56131768,2.902447728,0.25,1
AUS,AUD,2020/8/1,1.389043227,1.765149663,-0.239620297,1.064859632,13.8733892,2.913166762,0.25,1
AUS,AUD,2020/9/1,1.381623156,1.705409077,-0.210546002,0.385728062,13.77900702,2.878064085,0.25,1
AUS,AUD,2020/10/1,1.40303992,1.831552173,-0.266522535,0.479386385,13.59583961,2.878544029,0.25,1
AUS,AUD,2020/11/1,1.376516626,1.784748679,-0.259721485,1.058710298,13.07344565,2.929801067,0.1,1
AUS,AUD,2020/12/1,1.329703033,1.735188402,-0.266160362,0.285714286,13.66823252,2.873193035,0.1,1
AUS,AUD,2021/1/1,1.294357283,1.639252209,-0.236225903,0.380952381,13.59588181,2.299655927,0.1,1
AUS,AUD,2021/2/1,1.289565481,1.626707276,-0.23225257,1.055662188,13.98798156,2.411811331,0.1,1
AUS,AUD,2021/3/1,1.296877907,1.644688708,-0.237591365,0.763358779,11.43304732,2.635705112,0.1,1
AUS,AUD,2021/4/1,1.298144951,1.539825727,-0.170732961,2.512077295,4.928101751,2.612166933,0.1,1
AUS,AUD,2021/5/1,1.288754695,1.550687038,-0.185021684,3.307392996,5.725744535,2.582781448,0.1,1
AUS,AUD,2021/6/1,1.308020031,1.541050461,-0.163949734,3.501945525,6.77586816,2.655926715,0.1,1
AUS,AUD,2021/7/1,1.346842572,1.664395471,-0.211698959,2.105263158,7.559917529,2.56972446,0.1,1
AUS,AUD,2021/8/1,1.369693254,1.706823506,-0.220047231,2.490421456,7.629381314,3.210592678,0.1,1
AUS,AUD,2021/9/1,1.365738585,1.710751979,-0.225237657,3.073967339,4.264048936,3.28107564,0.1,1
AUS,AUD,2021/10/1,1.350812852,1.838194749,-0.308077451,2.958015267,4.849451446,3.150415903,0.1,1
AUS,AUD,2021/11/1,1.367393872,1.790886509,-0.269804109,3.238095238,5.598253144,3.203345523,0.1,1
AUS,AUD,2021/12/1,1.398489631,1.79187799,-0.247871407,3.51377018,6.699811053,3.248479484,0.1,1
AUS,AUD,2022/1/1,1.392890394,1.711122767,-0.205768736,3.984819734,5.876594256,3.023891761,0.1,1
AUS,AUD,2022/2/1,1.397106592,1.78036955,-0.242417577,4.938271605,5.825778957,3.022476648,0.1,1
AUS,AUD,2022/3/1,1.35710029,1.761849498,-0.261013825,5.681818182,5.881444507,3.024313306,0.1,1
AUS,AUD,2022/4/1,1.351808043,1.741544944,-0.253329631,5.466540999,6.973211996,2.901078383,0.1,1
AUS,AUD,2022/5/1,1.418037436,1.819661215,-0.24937651,6.120527307,7.635244688,2.93228455,0.35,1
AUS,AUD,2022/6/1,1.422407662,1.74232416,-0.202868973,6.766917293,8.178698915,2.882833617,0.85,1
AUS,AUD,2022/7/1,1.458819607,1.699778504,-0.152870331,7.216494845,6.534845394,2.948835614,1.35,1
AUS,AUD,2022/8/1,1.436772226,1.777742024,-0.212944945,7.196261682,6.293584199,2.950707558,1.85,1
AUS,AUD,2022/9/1,1.495332427,1.847709196,-0.211598058,7.176141659,10.12703309,2.895849464,2.35,1
AUS,AUD,2022/10/1,1.572104576,1.952937971,-0.216919674,6.950880445,10.08398791,2.887426454,2.6,1
AUS,AUD,2022/11/1,1.516540633,1.92100211,-0.236415141,7.380073801,9.324608523,3.104351977,2.85,1
AUS,AUD,2022/12/1,1.481053622,1.861452416,-0.228603311,8.440366972,7.841017065,3.094023432,3.1,1
BRA,BRL,2019/1/1,3.741054545,3.788201316,-0.012523784,3.776527566,7.30672272,19.97116841,6.5,0.162561476
BRA,BRL,2019/2/1,3.723025,3.767363393,-0.011838882,3.890225412,6.464940767,20.05030456,6.5,0.162561476
BRA,BRL,2019/3/1,3.845884211,3.76747224,0.020599257,4.575283531,7.533643959,20.35776895,6.5,0.162561476
BRA,BRL,2019/4/1,3.895557143,4.04023632,-0.036466476,4.940505941,7.470044269,20.33964496,6.5,0.162561476
BRA,BRL,2019/5/1,4.000918182,4.006359866,-0.001359185,4.658258543,8.117889436,20.46368043,6.5,0.162561476
BRA,BRL,2019/6/1,3.858226316,4.108721373,-0.062904304,3.366267152,7.618684444,20.55402274,6.5,0.162561476
BRA,BRL,2019/7/1,3.778713043,3.939677291,-0.041715327,3.222020466,7.701571014,20.42597811,6.5,0.162561476
BRA,BRL,2019/8/1,4.019381818,4.065056266,-0.01129947,3.428615501,7.683902174,20.45450071,6,0.162561476
BRA,BRL,2019/9/1,4.1209,4.171469655,-0.012196823,2.893424893,7.471074872,19.92491482,5.5,0.162561476
BRA,BRL,2019/10/1,4.086386957,3.94852243,0.034319755,2.535028577,7.597539881,19.56803244,5,0.162561476
BRA,BRL,2019/11/1,4.154725,4.124689785,0.007255427,3.274906391,8.113556795,19.38894721,5,0.162561476
BRA,BRL,2019/12/1,4.108880952,4.213518025,-0.025147217,4.306151617,8.136261479,18.87527608,4.5,0.162561476
BRA,BRL,2020/1/1,4.146777273,3.993029196,0.037781332,4.191771238,6.986121709,24.11466415,4.5,0.162561476
BRA,BRL,2020/2/1,4.341838889,4.455741603,-0.025895547,4.005113905,7.085449484,24.32328221,4.25,0.162561476
BRA,BRL,2020/3/1,4.883218182,4.537988742,0.073320561,3.30315772,7.282169585,23.01283053,3.75,0.162561476
BRA,BRL,2020/4/1,5.324985,5.071369706,0.048798955,2.399279429,9.33508137,22.73932444,3.75,0.162561476
BRA,BRL,2020/5/1,5.64285,5.045797804,0.111833478,1.877727164,10.69206066,23.16582783,3,0.162561476
BRA,BRL,2020/6/1,5.195995238,5.056261406,0.027260825,2.132417385,12.83954582,23.36708519,2.25,0.162561476
BRA,BRL,2020/7/1,5.279595652,4.904614082,0.073673102,2.305624998,14.76630985,23.73786009,2.25,0.162561476
BRA,BRL,2020/8/1,5.460633333,5.493800688,-0.006055531,2.43846476,15.08324875,23.83470457,2,0.162561476
BRA,BRL,2020/9/1,5.398880952,4.9194286,0.092999315,3.135329314,15.95331799,23.88066373,2,0.162561476
BRA,BRL,2020/10/1,5.625190476,5.259124723,0.067290199,3.918350032,17.07038119,23.74347237,2,0.162561476
BRA,BRL,2020/11/1,5.417235,5.179042505,0.044965343,4.311223326,16.7650773,23.85806567,2,0.162561476
BRA,BRL,2020/12/1,5.144945455,4.645883156,0.102033283,4.517456886,17.02427159,23.81413525,2,0.162561476
BRA,BRL,2021/1/1,5.3556,4.886283569,0.091710734,4.559198112,18.25768058,21.03328783,2,0.162561476
BRA,BRL,2021/2/1,5.415894444,4.758872781,0.129327216,5.195378643,18.86547887,21.08896814,2,0.162561476
BRA,BRL,2021/3/1,5.645547826,4.996924689,0.122044578,6.099478544,18.79963674,20.57365323,2.75,0.162561476
BRA,BRL,2021/4/1,5.561535,4.951496086,0.116184379,6.759303889,16.88062843,20.78040993,2.75,0.162561476
BRA,BRL,2021/5/1,5.290447619,4.74750718,0.108283182,8.056065441,15.40333698,20.86603341,3.5,0.162561476
BRA,BRL,2021/6/1,5.031304762,4.62315195,0.084602634,8.347072366,13.95909771,20.68734728,4.25,0.162561476
BRA,BRL,2021/7/1,5.156027273,5.61105176,-0.084571807,8.994822841,13.02646009,20.83472741,4.25,0.162561476
BRA,BRL,2021/8/1,5.251122727,4.788889416,0.092143377,9.679773624,12.82006296,21.71962335,5.25,0.162561476
BRA,BRL,2021/9/1,5.279090476,5.564949763,-0.052734133,10.24639496,12.15905223,21.64189234,6.25,0.162561476
BRA,BRL,2021/10/1,5.539375,5.765535994,-0.040016445,10.67262216,12.2248661,21.57906061,7.75,0.162561476
BRA,BRL,2021/11/1,5.55626,5.530709864,0.004609047,10.73850091,12.28462508,21.56853766,7.75,0.162561476
BRA,BRL,2021/12/1,5.650604348,5.282611457,0.067341934,10.06098274,12.25920825,21.22665202,9.25,0.162561476
BRA,BRL,2022/1/1,5.533504762,5.321281113,0.039107302,10.37942484,11.80150878,17.97829447,9.25,0.162561476
BRA,BRL,2022/2/1,5.195978947,5.424775511,-0.043091471,10.54366173,12.30564939,17.92551631,10.75,0.162561476
BRA,BRL,2022/3/1,4.967781818,5.434269862,-0.089751745,11.29941213,13.61900585,17.67895451,11.75,0.162561476
BRA,BRL,2022/4/1,4.757415789,4.758616818,-0.000252422,12.13163022,14.059287,17.27291613,11.75,0.162561476
BRA,BRL,2022/5/1,4.95445,4.881903948,0.014750865,11.73121285,14.32466539,17.35443269,12.75,0.162561476
BRA,BRL,2022/6/1,5.048609524,4.948828184,0.019962045,11.88686963,13.74788299,17.13250973,13.25,0.162561476
BRA,BRL,2022/7/1,5.36747619,5.19666535,0.032340674,10.06940332,13.92614077,17.3702972,13.25,0.162561476
BRA,BRL,2022/8/1,5.1404875,4.896426312,0.048642304,8.727291293,13.81065351,17.03512993,13.75,0.162561476
BRA,BRL,2022/9/1,5.236357143,5.055801412,0.035089676,7.168824789,13.67088764,16.42628524,13.75,0.162561476
BRA,BRL,2022/10/1,5.249695,5.295559276,-0.008698617,6.470372235,12.35756178,16.32888646,13.75,0.162561476
BRA,BRL,2022/11/1,5.274055,5.016953984,0.049976543,5.900728971,13.2856711,16.61025426,13.75,0.162561476
BRA,BRL,2022/12/1,5.241831818,5.675452966,-0.079479357,5.785092908,12.74985157,16.24709381,13.75,0.162561476
CAN,CAD,2019/1/1,1.33033,1.688652441,-0.238503807,1.442672741,6.401015894,5.039378026,1.75,1
CAN,CAD,2019/2/1,1.320557895,1.457141085,-0.09842206,1.509433962,6.215775717,4.841373273,1.75,1
CAN,CAD,2019/3/1,1.33647,1.927252106,-0.3660634,1.881113619,7.396658058,4.782929878,1.75,1
CAN,CAD,2019/4/1,1.33738,1.900433134,-0.351369349,2.025506377,8.064796516,4.93423579,1.75,1
CAN,CAD,2019/5/1,1.345985714,2.154313866,-0.470345664,2.3988006,7.818226219,4.915038854,1.75,1
CAN,CAD,2019/6/1,1.328752632,1.984405305,-0.401078643,2.020958084,7.507434663,4.949172187,1.75,1
CAN,CAD,2019/7/1,1.310484211,1.812865827,-0.324512227,2.010424423,7.878145779,4.889505464,1.75,1
CAN,CAD,2019/8/1,1.32766,1.77704661,-0.291534784,1.937406855,8.229433535,4.94043249,1.75,1
CAN,CAD,2019/9/1,1.32405,1.839816565,-0.328970653,1.869857891,8.268612677,4.888298297,1.75,1
CAN,CAD,2019/10/1,1.318371429,1.773734299,-0.296689888,1.864280388,8.547301555,4.90415324,1.75,1
CAN,CAD,2019/11/1,1.32320625,1.749327055,-0.279173405,2.172284644,8.386245771,4.875337437,1.75,1
CAN,CAD,2019/12/1,1.318272222,1.798659109,-0.310719491,2.248875562,7.889626639,4.891660714,1.75,1
CAN,CAD,2020/1/1,1.308833333,1.60001532,-0.200877049,2.395209581,8.513535225,5.222701051,1.75,1
CAN,CAD,2020/2/1,1.328584211,1.821604676,-0.315603931,2.156133829,8.617263111,5.288894132,1.75,1
CAN,CAD,2020/3/1,1.39525,1.742378061,-0.222177271,0.886262925,10.2261135,5.200290761,0.25,1
CAN,CAD,2020/4/1,1.405247368,1.812047919,-0.254244303,-0.220588235,13.10049837,5.27410534,0.25,1
CAN,CAD,2020/5/1,1.396355556,1.723394557,-0.210430257,-0.366032211,14.86295811,5.27709259,0.25,1
CAN,CAD,2020/6/1,1.3544,1.815242134,-0.292860314,0.660308144,16.30157465,5.271348733,0.25,1
CAN,CAD,2020/7/1,1.348763158,1.763291812,-0.267994417,0.145985401,15.92506115,5.46001626,0.25,1
CAN,CAD,2020/8/1,1.322294737,1.815135599,-0.316791511,0.14619883,15.36658186,5.429465569,0.25,1
CAN,CAD,2020/9/1,1.323763158,1.776778825,-0.294323518,0.513950073,15.53124214,5.445314781,0.25,1
CAN,CAD,2020/10/1,1.321471429,1.768910487,-0.291617978,0.65885798,12.27696783,5.488489316,0.25,1
CAN,CAD,2020/11/1,1.307575,1.754044553,-0.293750018,0.953079179,12.03177354,5.541013731,0.25,1
CAN,CAD,2020/12/1,1.281294118,1.664738987,-0.26179775,0.73313783,11.66167867,5.461675163,0.25,1
CAN,CAD,2021/1/1,1.272205263,1.662986861,-0.267863477,1.023391813,11.93151166,4.406038997,0.25,1
CAN,CAD,2021/2/1,1.269857895,1.712643864,-0.299133296,1.091703057,11.96393487,4.268512419,0.25,1
CAN,CAD,2021/3/1,1.25667619,1.636283322,-0.263957112,2.196193265,9.120452724,4.122616815,0.25,1
CAN,CAD,2021/4/1,1.24935,1.62564025,-0.263278322,3.389830508,5.434443024,4.170197185,0.25,1
CAN,CAD,2021/5/1,1.214584615,1.608013222,-0.280597256,3.600293902,4.869596542,4.411456468,0.25,1
CAN,CAD,2021/6/1,1.223084211,1.630256799,-0.287361837,3.06122449,3.698809738,4.403388408,0.25,1
CAN,CAD,2021/7/1,1.254784211,1.643673329,-0.269969958,3.717201166,4.748481353,4.460012989,0.25,1
CAN,CAD,2021/8/1,1.260394737,1.656788871,-0.273456358,4.087591241,5.354076358,5.267971425,0.25,1
CAN,CAD,2021/9/1,1.268658824,1.64159088,-0.257705522,4.38276114,4.88634343,5.250028899,0.25,1
CAN,CAD,2021/10/1,1.243685,1.672259285,-0.296096831,4.654545455,7.3989222,5.150823177,0.25,1
CAN,CAD,2021/11/1,1.254311111,1.708150649,-0.308824787,4.720406681,8.115112176,5.123985631,0.25,1
CAN,CAD,2021/12/1,1.278930769,1.626532185,-0.240425863,4.80349345,7.984845824,5.271759716,0.25,1
CAN,CAD,2022/1/1,1.262052632,1.547304513,-0.203774925,5.13748191,8.295820241,4.766331468,0.25,1
CAN,CAD,2022/2/1,1.271788889,1.668314192,-0.271389168,5.687544996,8.276945913,4.697256105,0.25,1
CAN,CAD,2022/3/1,1.265786957,1.590819411,-0.228555207,6.661891117,8.518148357,4.737178541,0.5,1
CAN,CAD,2022/4/1,1.263005263,1.619350605,-0.248531197,6.771204562,9.450562579,4.821809681,1,1
CAN,CAD,2022/5/1,1.286216667,1.660336303,-0.255315081,7.730496454,9.095469441,4.925705152,1,1
CAN,CAD,2022/6/1,1.276225,1.625407466,-0.241852031,8.132956153,9.181495603,4.852164004,1.5,1
CAN,CAD,2022/7/1,1.293958824,1.545758851,-0.17780858,7.589599438,8.264493303,4.868376017,2.5,1
CAN,CAD,2022/8/1,1.292168182,1.545449421,-0.178993187,7.012622721,7.803983652,4.919908763,2.5,1
CAN,CAD,2022/9/1,1.332031579,1.669216284,-0.225648945,6.857942617,8.31955486,4.691866126,3.25,1
CAN,CAD,2022/10/1,1.369772222,1.677587929,-0.202712541,6.879777623,8.406843746,4.724396067,3.75,1
CAN,CAD,2022/11/1,1.345815789,1.588943477,-0.166068952,6.796116505,8.208051219,4.846742192,3.75,1
CAN,CAD,2022/12/1,1.359835294,1.673520845,-0.207566113,6.319444444,8.121215036,4.882753847,4.25,1
CHN,CNY,2019/1/1,6.787638095,6.251650606,0.082257505,1.711023552,8.4,21.3224521,4.35,0.162561476
CHN,CNY,2019/2/1,6.735614286,6.214536745,0.08051783,1.50234252,8,21.33787609,4.35,0.162561476
CHN,CNY,2019/3/1,6.711614286,6.236488963,0.073422143,2.279205478,8.6,21.39586132,4.35,0.162561476
CHN,CNY,2019/4/1,6.716666667,6.151078006,0.087964648,2.568977347,8.5,21.36919497,4.35,0.162561476
